"REF_DATE","GEO","DGUID","Value and volume","Type of beverage","Type of product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","824509","","","","0"
"1995","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","787245","","","","0"
"1996","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","763073","","","","0"
"1997","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","764330","","","","0"
"1998","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","789117","","","","0"
"1999","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","799293","","","","0"
"2000","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","808578","","","","0"
"2001","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","812100","","","","0"
"2002","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","820604","","","","0"
"2003","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","615451","","","","0"
"2004","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","839176","","","","0"
"2005","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","853089","","","","0"
"2006","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","870737","","","","0"
"2007","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","891649","","","","0"
"2008","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","901981","","","","0"
"2009","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","900512","","","","0"
"2010","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","902445","","","","0"
"2011","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","904382","","","","0"
"2012","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","915847","","","","0"
"2013","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","915035","","","","0"
"1993","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","243290","","","","0"
"1994","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","244337","","","","0"
"1995","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","247026","","","","0"
"1996","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","244525","","","","0"
"1997","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","251745","","","","0"
"1998","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","267298","","","","0"
"1999","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","259616","","","","0"
"2000","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","302245","","","","0"
"2001","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","307341","","","","0"
"2002","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","310685","","","","0"
"2003","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","324577","","","","0"
"2004","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","348645","","","","0"
"2005","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","361455","","","","0"
"2006","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","385738","","","","0"
"2007","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","402583","","","","0"
"2008","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","408672","","","","0"
"2009","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","435387","","","","0"
"2010","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","430646","","","","0"
"2011","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","464160","","","","0"
"2012","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","516372","","","","0"
"2013","Canada","","Value in dollars","Whisky","Import products","Dollars","81","thousands","3","v20856601","1.1.8.3","553202","","","","0"
"1993","Canada","","Value in dollars","Vodka","Total products","Dollars","81","thousands","3","v20856619","1.1.9.1","481742","","","","0"
