"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","38880","","","","0"
"2004/2005","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","39870","","","","0"
"2005/2006","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","40992","","","","0"
"2006/2007","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","39477","","","","0"
"2007/2008","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","40662","","","","0"
"2008/2009","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","40953","","","","0"
"2009/2010","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","42003","","","","0"
"2010/2011","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","41532","","","","0"
"2011/2012","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","41994","","","","0"
"2012/2013","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","41505","","","","0"
"2013/2014","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","39954","","","","0"
"2014/2015","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","39201","","","","0"
"2015/2016","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","38772","","","","0"
"2016/2017","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","38667","","","","0"
"2017/2018","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","39189","","","","0"
"2018/2019","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","38823","","","","0"
"2002/2003","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","264","","","","0"
"2003/2004","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","315","","","","0"
"2004/2005","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","318","","","","0"
"2005/2006","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","321","","","","0"
"2006/2007","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","315","","","","0"
"2007/2008","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","348","","","","0"
"2008/2009","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","324","","","","0"
"2009/2010","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","342","","","","0"
"2010/2011","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","312","","","","0"
"2011/2012","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","336","","","","0"
"2012/2013","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","258","","","","0"
"2013/2014","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","309","","","","0"
"2014/2015","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","312","","","","0"
"2015/2016","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","291","","","","0"
"2016/2017","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","306","","","","0"
"2017/2018","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","324","","","","0"
"2018/2019","Yukon","2016A000260","Total, age","Total, sex","Number","223","units","0","v65926980","12.1.1","264","","","","0"
"2002/2003","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","282","","","","0"
"2003/2004","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","303","","","","0"
"2004/2005","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","354","","","","0"
"2005/2006","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","366","","","","0"
"2006/2007","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","372","","","","0"
"2007/2008","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","423","","","","0"
"2008/2009","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","432","","","","0"
"2009/2010","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","405","","","","0"
"2010/2011","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","396","","","","0"
"2011/2012","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","393","","","","0"
"2012/2013","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","438","","","","0"
"2013/2014","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","462","","","","0"
"2014/2015","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","414","","","","0"
"2015/2016","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","369","","","","0"
"2016/2017","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","372","","","","0"
"2017/2018","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","351","","","","0"
"2018/2019","Northwest Territories","2016A000261","Total, age","Total, sex","Number","223","units","0","v65927004","13.1.1","336","","","","0"
"2002/2003","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","141","","","","0"
"2003/2004","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","135","","","","0"
"2004/2005","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","180","","","","0"
"2005/2006","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","183","","","","0"
"2006/2007","Nunavut","2016A000262","Total, age","Total, sex","Number","223","units","0","v65927028","14.1.1","198","","","","0"
