"REF_DATE","GEO","DGUID","Type of sales","Type of beverage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Yukon","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463332","12.1.1","318","","","","0"
"1990","Yukon","","Total sales","Spirits","Litres","203","thousands","3","v28463333","12.1.2","98","","","","0"
"1990","Yukon","","Total sales","Wine","Litres","203","thousands","3","v28463334","12.1.3","39","","","","0"
"1990","Yukon","","Total sales","Beer","Litres","203","thousands","3","v28463335","12.1.4","181","","","","0"
"1990","Yukon","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463336","12.2.1","15.1","","","","1"
"1990","Yukon","","Total per capita sales","Spirits","Litres","203","units ","0","v28463337","12.2.2","4.6","","","","1"
"1990","Yukon","","Total per capita sales","Wine","Litres","203","units ","0","v28463338","12.2.3","1.8","","","","1"
"1990","Yukon","","Total per capita sales","Beer","Litres","203","units ","0","v28463339","12.2.4","8.6","","","","1"
"1990","Northwest Territories including Nunavut","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463340","13.1.1","417","","","","0"
"1990","Northwest Territories including Nunavut","","Total sales","Spirits","Litres","203","thousands","3","v28463341","13.1.2","184","","","","0"
"1990","Northwest Territories including Nunavut","","Total sales","Wine","Litres","203","thousands","3","v28463342","13.1.3","29","","","","0"
"1990","Northwest Territories including Nunavut","","Total sales","Beer","Litres","203","thousands","3","v28463343","13.1.4","204","","","","0"
"1990","Northwest Territories including Nunavut","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463344","13.2.1","10.4","","","","1"
"1990","Northwest Territories including Nunavut","","Total per capita sales","Spirits","Litres","203","units ","0","v28463345","13.2.2","4.6","","","","1"
"1990","Northwest Territories including Nunavut","","Total per capita sales","Wine","Litres","203","units ","0","v28463346","13.2.3","0.7","","","","1"
